Order_ID,Latitude,Longitude,Order_Value_PKR,Category,Order_Timestamp
ORD-37980,24.948167023926715,67.02631227767664,2869,Snacks,2026-04-03 10:40:00
ORD-9912,24.82268271837227,67.03515806976507,2101,Pharmacy,2026-04-14 02:18:00
ORD-43387,24.953005971235168,67.03653796187427,4019,Personal Care,2026-02-13 16:01:00
ORD-13823,24.85213891158851,67.05059615392152,5469,Personal Care,2026-02-11 14:31:00
ORD-44811,24.94804569592881,67.0548316494841,4691,Pharmacy,2026-05-01 18:23:00
ORD-18496,24.927351408737472,67.11269955565069,970,Pharmacy,2026-03-06 08:26:00
ORD-25556,24.903335917225824,67.10244271156888,2929,Personal Care,2026-04-17 12:13:00
ORD-13317,24.832112280853178,67.0376817929561,3383,Grocery,2026-02-10 10:16:00
ORD-12930,24.81586728211508,67.03758976334463,4335,Grocery,2026-02-28 11:28:00
ORD-28375,24.88513188606765,67.08186169775496,3920,Personal Care,2026-03-29 23:41:00
ORD-43685,24.90289200885139,67.04663562080066,6009,Personal Care,2026-02-09 06:11:00
ORD-26717,24.9324986532448,67.09599554808061,5486,Snacks,2026-03-30 17:58:00
ORD-1571,24.79975279242106,67.01916539224362,668,Grocery,2026-02-10 20:02:00
ORD-40274,24.91878382030168,67.05878489570549,3804,Snacks,2026-03-17 16:48:00
ORD-10856,24.82657836079795,67.05060155244772,5194,Snacks,2026-04-04 18:44:00
ORD-8719,24.823886317321204,67.0336703242438,1321,Snacks,2026-02-16 18:39:00
ORD-21248,24.88708476215871,67.08908667880985,3579,Grocery,2026-04-18 10:31:00
ORD-30424,24.96555269440152,67.05954040611196,4505,Grocery,2026-02-08 15:06:00
ORD-19496,24.916263443385784,67.07479726581045,2083,Grocery,2026-03-23 14:36:00
ORD-7616,24.84702797094428,67.02880739371476,3730,Snacks,2026-05-03 20:00:00
ORD-17516,24.92935627190566,67.10385716870238,4176,Snacks,2026-02-22 11:51:00
ORD-30444,24.95635996509316,67.03662202037331,1686,Grocery,2026-02-24 15:13:00
ORD-30603,24.9485626284472,67.03792601595401,5211,Personal Care,2026-03-25 13:04:00
ORD-1389,24.817814758531856,67.05214667839014,932,Grocery,2026-02-26 17:16:00
ORD-37634,24.9648494778191,67.03663615460766,5460,Pharmacy,2026-02-12 20:16:00
ORD-21717,24.908504783664533,67.08341757539841,5538,Grocery,2026-04-15 20:05:00
ORD-33139,24.93119866576834,67.03689524382072,3441,Pharmacy,2026-03-31 10:07:00
ORD-10853,24.80995121219848,67.01962992426527,5975,Personal Care,2026-03-02 13:55:00
ORD-21965,24.934508934607106,67.07459073073592,2830,Snacks,2026-04-09 10:40:00
ORD-9355,24.80995003585492,67.0787994829602,2208,Grocery,2026-03-08 14:00:00
ORD-25947,24.915136640023004,67.10602936289419,1924,Grocery,2026-03-22 15:02:00
ORD-24781,24.9197028197624,67.09921442211741,3115,Grocery,2026-02-21 08:05:00
ORD-41448,24.939956313896616,67.05820285069508,3049,Grocery,2026-05-02 13:09:00
ORD-27246,24.91861559885975,67.10104129396849,2390,Personal Care,2026-02-18 12:56:00
ORD-43593,24.950652081566886,67.03281147599964,6220,Grocery,2026-04-28 14:40:00
ORD-29815,24.90123194721773,67.07586083065736,6141,Snacks,2026-03-04 19:21:00
ORD-29042,24.92029073997738,67.08578472496247,1269,Grocery,2026-04-28 12:39:00
ORD-11276,24.835838382575144,66.99951780726728,3414,Personal Care,2026-04-06 17:36:00
ORD-14007,24.821754641943013,67.01920410710476,1915,Pharmacy,2026-03-07 19:31:00
ORD-11900,24.837304529730144,67.0290109799358,2561,Personal Care,2026-04-27 19:46:00
ORD-6808,24.79236956267223,67.02813361162201,1719,Personal Care,2026-02-09 18:56:00
ORD-40410,24.94223156654063,67.03234590181204,1267,Grocery,2026-02-16 21:06:00
ORD-19537,24.90256908733009,67.10281279499179,4009,Personal Care,2026-04-10 15:33:00
ORD-15838,24.91002271446444,67.10516325459831,4992,Grocery,2026-02-23 16:38:00
ORD-27160,24.9066968878218,67.07245504351862,5407,Pharmacy,2026-02-12 19:03:00
ORD-3017,24.800960439966865,67.0257655216622,4013,Pharmacy,2026-03-27 09:02:00
ORD-43196,24.933973559785056,67.07294425980878,2565,Personal Care,2026-04-29 23:39:00
ORD-4730,24.80978864025898,67.0603592371944,4530,Grocery,2026-04-07 12:16:00
ORD-18755,24.882717590228022,67.10607247357235,1482,Snacks,2026-04-15 19:25:00
ORD-28327,24.916751523129754,67.0994297884772,6089,Pharmacy,2026-03-04 21:30:00
ORD-9662,24.8284625585961,67.04769769133544,4896,Grocery,2026-04-06 17:40:00
ORD-10230,24.802884633928056,67.02575757663773,6318,Personal Care,2026-04-07 19:40:00
ORD-43563,24.94350782018348,67.05775147502435,1470,Pharmacy,2026-04-05 12:07:00
ORD-16208,24.91885813494922,67.11209378028364,5884,Personal Care,2026-02-20 17:38:00
ORD-44960,24.94083272216223,67.02085510890664,3179,Grocery,2026-02-23 08:25:00
ORD-42193,24.905694599404185,67.01843917966998,4628,Pharmacy,2026-02-25 18:39:00
ORD-4194,24.80966682934369,67.03352264940214,1446,Snacks,2026-04-21 20:34:00
ORD-24677,24.90087774656589,67.08279830263159,5318,Grocery,2026-03-25 21:31:00
ORD-30087,24.93813960587827,67.02677853613383,1050,Personal Care,2026-03-26 13:11:00
ORD-6737,24.833676316209587,67.03051298279946,3465,Grocery,2026-04-15 07:15:00
ORD-10521,24.822849001044432,67.05565463401385,6345,Pharmacy,2026-03-09 15:20:00
ORD-7708,24.81350786623077,67.04656340497918,4777,Personal Care,2026-04-06 20:51:00
ORD-31168,24.94790953907179,67.06268752556927,696,Pharmacy,2026-03-20 23:27:00
ORD-36150,24.937976321525703,67.02207268487146,1736,Pharmacy,2026-02-20 18:22:00
ORD-4519,24.795746371636344,67.01779260709054,6370,Grocery,2026-04-24 12:40:00
ORD-10501,24.814470532538717,67.0457111813969,3758,Pharmacy,2026-04-29 12:03:00
ORD-12571,24.85931963904463,67.06591431834141,4733,Snacks,2026-02-21 18:45:00
ORD-33224,24.948208285740765,67.04739567419989,5879,Snacks,2026-03-05 22:28:00
ORD-40308,24.94103805150638,67.05478332046036,3875,Snacks,2026-03-13 12:28:00
ORD-25048,24.91431265252623,67.08672219213334,1438,Grocery,2026-03-11 14:14:00
ORD-9352,24.82015567489651,67.04524541187645,2714,Pharmacy,2026-03-12 15:12:00
ORD-34391,24.942527310368195,67.03114183267324,1919,Personal Care,2026-03-04 21:55:00
ORD-4539,24.83025009756378,67.0136935406959,3357,Personal Care,2026-04-18 09:24:00
ORD-3864,24.82313360925871,67.03126544488164,2781,Personal Care,2026-02-06 09:02:00
ORD-42937,24.90753709544253,67.04184066952094,3600,Snacks,2026-04-22 22:55:00
ORD-13621,24.8051068778471,67.02939451324809,4879,Pharmacy,2026-03-23 20:27:00
ORD-25083,24.920273149802547,67.10489645555735,1541,Grocery,2026-05-05 20:55:00
ORD-8920,24.81301166264997,67.01491600182298,5587,Grocery,2026-04-05 15:27:00
ORD-37851,24.96054434781476,67.04525867783147,5345,Personal Care,2026-03-31 21:11:00
ORD-40137,24.946517835330702,67.03354207095543,2742,Pharmacy,2026-02-19 14:52:00
ORD-34858,24.934138265051853,67.02898147693517,6236,Snacks,2026-04-22 14:47:00
ORD-42955,24.937462434604544,67.06658646720335,4869,Pharmacy,2026-04-28 10:37:00
ORD-17248,24.936526261743428,67.09153795610779,5629,Personal Care,2026-04-07 18:54:00
ORD-18393,24.890874619538717,67.10468172836052,4688,Grocery,2026-04-05 14:11:00
ORD-15424,24.90319970660216,67.08727809285065,5243,Personal Care,2026-03-14 19:02:00
ORD-33302,24.969369555788003,67.05544288865703,5276,Pharmacy,2026-03-24 20:29:00
ORD-3402,24.82777033777929,67.03769902864104,4279,Pharmacy,2026-02-23 20:52:00
ORD-6101,24.816425394638934,67.01682896034197,3438,Pharmacy,2026-03-13 20:53:00
ORD-41231,24.923635710059617,67.05615635458285,6303,Personal Care,2026-02-16 07:00:00
ORD-4420,24.81601614333672,67.02237138820783,3248,Pharmacy,2026-04-02 21:38:00
ORD-15227,24.92768001864864,67.08668776726182,6160,Snacks,2026-02-19 07:17:00
ORD-42787,24.91146390925728,67.03250988068955,817,Grocery,2026-02-11 21:57:00
ORD-18336,24.91873358522096,67.10301865018218,1981,Personal Care,2026-02-24 13:39:00
ORD-12831,24.83107981704134,67.01651556922894,6432,Snacks,2026-05-01 11:33:00
ORD-8125,24.819343135118142,67.0218173767175,4578,Snacks,2026-02-07 14:15:00
ORD-6317,24.817271456716657,67.02267502680945,1250,Grocery,2026-03-22 12:37:00
ORD-24190,24.88896606577365,67.08215425019425,2063,Snacks,2026-04-26 19:34:00
ORD-26597,24.927337671789875,67.08192227245138,910,Snacks,2026-03-10 01:33:00
ORD-43367,24.9377805428036,67.03235059639559,4094,Snacks,2026-04-09 19:55:00
ORD-13848,24.84521152058157,67.03172341012186,5559,Grocery,2026-03-10 19:32:00
ORD-35155,24.9267428222166,67.0491959244982,6021,Pharmacy,2026-03-10 14:43:00
ORD-4158,24.79702655450661,67.01508311116372,3780,Grocery,2026-02-17 10:41:00
ORD-36831,24.935238362137277,67.0402941521959,848,Snacks,2026-04-18 20:13:00
ORD-23147,24.899324920978216,67.07709464041977,2191,Pharmacy,2026-03-13 12:08:00
ORD-13818,24.81508323091652,67.0196745051082,3849,Personal Care,2026-04-02 13:29:00
ORD-31736,24.923910229708344,67.06780035185811,3818,Pharmacy,2026-03-17 13:25:00
